Rank,Title,Year,Director,Canon Score,TMDB Rating
305,La Ciénaga,2001,Lucrecia Martel,62,6.923
306,Barton Fink,1991,Joel Coen,62,7.458
307,The Straight Story,1999,David Lynch,62,7.724
308,Bad Genius,2017,Nattawut Poonpiriya,62,7.868
309,Dial M for Murder,1954,Alfred Hitchcock,62,8.006
310,Double Indemnity,1944,Billy Wilder,62,8.107
311,The Conversation,1974,Francis Ford Coppola,62,7.5
312,The Spirit of the Beehive,1973,Víctor Erice,62,7.632
313,The Night of the Hunter,1955,Charles Laughton,62,7.869
314,The Big Blue,1988,Luc Besson,61,7.449
315,Do Not Expect Too Much from the End of the World,2023,Radu Jude,60,7.034
316,First Cow,2020,Kelly Reichardt,60,7.1
317,Saint Omer,2022,Alice Diop,60,6.2
318,The Child,2005,Luc Dardenne,60,7.1
319,Vampyr,1932,Carl Theodor Dreyer,60,7.278
320,Peeping Tom,1960,Michael Powell,60,7.4
321,Midnight Express,1978,Alan Parker,60,7.449
322,The Killer,1989,John Woo,60,7.593
323,Rosemary's Baby,1968,Roman Polanski,60,7.821
324,Rosetta,1999,Luc Dardenne,60,7.176
325,The Grapes of Wrath,1940,John Ford,60,7.818
326,The Master,2012,Paul Thomas Anderson,60,7.114
327,Shadow of a Doubt,1943,Alfred Hitchcock,60,7.509
328,A Clockwork Orange,1971,Stanley Kubrick,60,8.181
329,La Chimera,2023,Alice Rohrwacher,59,7.28
330,La Flor,2019,Mariano Llinás,59,7.21
331,Performance,1970,Nicolas Roeg,59,6.72
332,Vitalina Varela,2019,Pedro Costa,58,6.662
333,Fargo,1996,Joel Coen,58,7.85
334,Malcolm X,1992,Spike Lee,58,7.54
335,Inherent Vice,2014,Paul Thomas Anderson,58,6.542
336,Chinatown,1974,Roman Polanski,57,7.915
337,The Last Temptation of Christ,1988,Martin Scorsese,57,7.215
338,The General,1926,Clyde Bruckman,57,7.9
339,My Neighbor Totoro,1988,Hayao Miyazaki,57,8.064
340,The Host,2006,Bong Joon Ho,57,6.976
341,Notorious,1946,Alfred Hitchcock,56,7.747
342,Sentimental Value,2025,Joachim Trier,55,7.6
343,The Wolf of Wall Street,2013,Martin Scorsese,55,8.025
344,The Castle of Cagliostro,1979,Hayao Miyazaki,55,7.507
345,The Third Man,1949,Carol Reed,55,7.9
346,Nosferatu,1922,F. W. Murnau,54,7.7
347,The Last Picture Show,1971,Peter Bogdanovich,54,7.6
348,Manchester by the Sea,2016,Kenneth Lonergan,54,7.547
